Description,Real GDP of England at market prices,Real GDP of England at factor cost ,"Real UK GDP at market prices, geographically-consistent estimate based on post-1922 borders","Real UK GDP at factor cost, geographically-consistent estimate based on post-1922 borders","Index of real UK GDP at factor cost - based on changing political boundaries, ",Composite estimate of English and (geographically-consistent) UK real GDP at factor cost,HP-filter of log of real composite estimate of English and UK real GDP at factor cost,"Real UK gross disposable national income at market prices, constant border estimate",Real consumption,Real investment,Stockbuilding contribution,Real government consumption of goods and services,Export volumes,Import volumes,Nominal GDP of England at market prices,Nominal UK GDP at market prices,Nominal UK GDP at market prices.1,Population (GB+NI),Population (England),Employment,Unemployment rate,Average weekly hours worked,"Capital Services, whole economy",TFP growth,Labour productivity,Labour productivity.1,"Labour share, whole economy excluding rents",GDP deflator at market prices,Export prices,Import prices,Terms of Trade,$ Oil prices,Earnings per head,Consumer price index,Consumer price inflation,Real consumption wages,Wholesale/producer price index,Bank Rate,Bank Rate.1,10 year/medium-term government bond yields,Consols / long-term government bond yields,Mortgage rates,Corporate borrowing rate from banks,Corporate bond yields,Share prices,$/£ exchange rate,Real $/£ exchange rate,Nominal ERI,Real ERI,House price index,Credit ,Secured credit,Bank of England Balance sheet,Bank of England Balance sheet.1,Coin in circulation outside the Bank of England,Notes and coin in circulation,Monetary base,M1,Broad Money ,Public sector Total Managed Expenditure,Public sector Total Managed Expenditure.1,Public Sector Total Receipts,Public Sector Total Receipts.1,Public Sector Net Lending(+)/Borrowing(-),Public Sector Net Lending(+)/Borrowing(-).1,UK Public sector debt,UK Public sector debt.1,UK Public sector debt.2,Central Government Gross Debt,Central Government Gross Debt.1,Trade deficit,Trade deficit.1,Current account ,Current account .1,Current account deficit including estimated non-monetary bullion flows,Current account deficit including estimated non-monetary bullion flows.1
1218,,,,,,,,,,,,,,,,,,,3905,,,,,,,,,,,,,,0.029,0.12,16.62,30.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,,,,,,,,,,,,,,,,,,,3937,,,,,,,,,,,,,,0.036,0.11,-3.13,39.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,,,,,,,,,,,,,,,,,,,3970,,,,,,,,,,,,,,0.029,0.10,-12.67,36.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,,,,,,,,,,,,,,,,,,,3978,,,,,,,,,,,,,,0.030,0.11,11.96,33.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,,,,,,,,,,,,,,,,,,,3987,,,,,,,,,,,,,,0.033,0.09,-15.56,43.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,,,,,,,,,,,,,,,,,,,3995,,,,,,,,,,,,,,0.035,0.08,-15.56,54.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,,,,,,,,,,,,,,,,,,,4004,,,,,,,,,,,,,,0.036,0.09,10.33,50.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,,,,,,,,,,,,,,,,,,,4012,,,,,,,,,,,,,,0.032,0.13,49.66,30.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,,,,,,,,,,,,,,,,,,,4021,,,,,,,,,,,,,,0.032,0.12,-9.56,33.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,,,,,,,,,,,,,,,,,,,4029,,,,,,,,,,,,,,0.029,0.12,0.01,29.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,,,,,,,,,,,,,,,,,,,4038,,,,,,,,,,,,,,0.029,0.12,-1.81,30.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,,,,,,,,,,,,,,,,,,,4046,,,,,,,,,,,,,,0.029,0.12,-1.81,31.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,,,,,,,,,,,,,,,,,,,4055,,,,,,,,,,,,,,0.029,0.11,-1.81,31.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,,,,,,,,,,,,,,,,,,,4063,,,,,,,,,,,,,,0.029,0.11,-1.81,32.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,,,,,,,,,,,,,,,,,,,4072,,,,,,,,,,,,,,0.029,0.11,-1.81,33.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,,,,,,,,,,,,,,,,,,,4081,,,,,,,,,,,,,,0.031,0.10,-5.97,38.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,,,,,,,,,,,,,,,,,,,4089,,,,,,,,,,,,,,0.031,0.10,0.85,37.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,,,,,,,,,,,,,,,,,,,4098,,,,,,,,,,,,,,0.030,0.10,0.85,36.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,,,,,,,,,,,,,,,,,,,4107,,,,,,,,,,,,,,0.030,0.10,-2.85,37.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,,,,,,,,,,,,,,,,,,,4115,,,,,,,,,,,,,,0.030,0.11,10.23,34.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,,,,,,,,,,,,,,,,,,,4124,,,,,,,,,,,,,,0.031,0.11,-2.84,35.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,,,,,,,,,,,,,,,,,,,4133,,,,,,,,,,,,,,0.031,0.11,-2.84,36.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,,,,,,,,,,,,,,,,,,,4142,,,,,,,,,,,,,,0.031,0.10,-2.84,37.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,,,,,,,,,,,,,,,,,,,4150,,,,,,,,,,,,,,0.031,0.10,-2.84,39.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,,,,,,,,,,,,,,,,,,,4159,,,,,,,,,,,,,,0.031,0.10,-2.84,40.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,,,,,,,,,,,,,,,,,,,4168,,,,,,,,,,,,,,0.032,0.09,-2.84,41.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,,,,,,,,,,,,,,,,,,,4177,,,,,,,,,,,,,,0.032,0.09,-2.84,43.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,,,,,,,,,,,,,,,,,,,4186,,,,,,,,,,,,,,0.032,0.09,-2.84,44.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,,,,,,,,,,,,,,,,,,,4195,,,,,,,,,,,,,,0.029,0.10,15.15,35.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,,,,,,,,,,,,,,,,,,,4203,,,,,,,,,,,,,,0.032,0.14,32.36,29.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,,,,,,,,,,,,,,,,,,,4212,,,,,,,,,,,,,,0.032,0.13,-1.27,29.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,,,,,,,,,,,,,,,,,,,4221,,,,,,,,,,,,,,0.031,0.10,-26.06,38.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,,,,,,,,,,,,,,,,,,,4230,,,,,,,,,,,,,,0.029,0.11,9.46,34.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,,,,,,,,,,,,,,,,,,,4237,,,,,,,,,,,,,,0.035,0.10,-6.64,42.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,,,,,,,,,,,,,,,,,,,4243,,,,,,,,,,,,,,0.030,0.10,2.82,36.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,,,,,,,,,,,,,,,,,,,4250,,,,,,,,,,,,,,0.032,0.12,14.95,33.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,,,,,,,,,,,,,,,,,,,4257,,,,,,,,,,,,,,0.031,0.09,-23.60,42.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,,,,,,,,,,,,,,,,,,,4263,,,,,,,,,,,,,,0.035,0.09,2.77,46.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,,,,,,,,,,,,,,,,,,,4270,,,,,,,,,,,,,,0.035,0.12,27.33,36.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,,,,,,,,,,,,,,,,,,,4277,,,,,,,,,,,,,,0.034,0.14,15.91,31.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,,,,,,,,,,,,,,,,,,,4284,,,,,,,,,,,,,,0.031,0.14,-1.67,28.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,,,,,,,,,,,,,,,,,,,4290,,,,,,,,,,,,,,0.035,0.13,-4.52,33.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,,,,,,,,,,,,,,,,,,,4297,,,,,,,,,,,,,,0.035,0.12,-10.82,38.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,,,,,,,,,,,,,,,,,,,4304,,,,,,,,,,,,,,0.034,0.12,6.00,34.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,,,,,,,,,,,,,,,,,,,4311,,,,,,,,,,,,,,0.040,0.12,1.35,39.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,,,,,,,,,,,,,,,,,,,4317,,,,,,,,,,,,,,0.036,0.11,-10.09,39.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,,,,,,,,,,,,,,,,,,,4324,,,,,,,,,,,,,,0.031,0.11,1.78,33.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,,,,,,,,,,,,,,,,,,,4331,,,,,,,,,,,,,,0.032,0.12,3.65,33.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,,,,,,,,,,,,,,,,,,,4338,,,,,,,,,,,,,,0.030,0.12,0.62,31.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,,,,,,,,,,,,,,,,,,,4344,,,,,,,,,,,,,,0.030,0.13,7.35,29.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,,,,,,,,,,,,,,,,,,,4351,,,,,,,,,,,,,,0.033,0.11,-14.57,37.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,,,,,,,,,,,,,,,,,,,4358,,,,,,,,,,,,,,0.031,0.13,19.28,29.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,3518,3066,,,,0.2400,-1.08,,,,,,,,4.42,,,,4365,,,,,,,,,0.12,,,,,0.029,0.13,-2.09,28.87,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,
1271,3481,3034,,,,0.2375,-1.90,,,,,,,,4.77,,,,4372,,,,,,,,,0.14,,,,,0.030,0.16,26.09,23.04,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,
1272,3612,3148,,,,0.2464,2.02,,,,,,,,4.94,,,,4379,,,,,,,,,0.14,,,,,0.025,0.17,5.06,18.60,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,
1273,3407,2969,,,,0.2325,-3.55,,,,,,,,4.40,,,,4385,,,,,,,,,0.13,,,,,0.029,0.14,-17.02,25.65,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,
1274,3394,2958,,,,0.2316,-3.59,,,,,,,,4.67,,,,4392,,,,,,,,,0.14,,,,,0.030,0.16,13.59,23.42,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,
1275,3880,3381,,,,0.2647,10.20,,,,,,,,5.44,,,,4399,,,,,,,,,0.14,,,,,0.029,0.16,-2.20,23.26,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,
1276,3414,2975,,,,0.2330,-1.97,,,,,,,,4.42,,,,4406,,,,,,,,,0.13,,,,,0.030,0.14,-10.82,27.04,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,
1277,3646,3177,,,,0.2488,5.35,,,,,,,,5.23,,,,4413,,,,,,,,,0.14,,,,,0.029,0.16,13.26,23.28,,,,,,,,,,,,,,,,,,,0.60,,,,,,,,,,,,,,,,,,,,,
1278,3780,3294,,,,0.2579,9.87,,,,,,,,5.00,,,,4420,,,,,,,,,0.13,,,,,0.030,0.14,-13.48,27.21,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,
1279,3137,2734,,,,0.2141,-7.75,,,,,,,,3.94,,,,4427,,,,,,,,,0.12,,,,,0.030,0.13,-7.65,30.14,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,
1280,3187,2778,,,,0.2175,-5.22,,,,,,30.1,,4.25,,,,4455,,,,,,,,,0.13,,,,,0.033,0.14,13.20,29.20,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,
1281,3390,2954,,,,0.2313,1.76,,,,,,32.3,,4.26,,,,4484,,,,,,,,,0.12,,,,,0.029,0.13,-6.62,27.69,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,
1282,3290,2867,,,,0.2245,-0.54,,,,,,31.1,,4.55,,,,4513,,,,,,,,,0.14,,,,,0.031,0.15,15.54,25.45,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,
1283,3130,2728,,,,0.2136,-5.05,,,,,,31.6,,4.33,,,,4542,,,,,,,,,0.14,,,,,0.031,0.15,-3.70,26.07,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,
1284,3239,2823,,,,0.2210,-1.37,,,,,,38.2,,4.36,,,,4572,,,,,,,,,0.13,,,,,0.032,0.15,0.70,27.31,,,,,,,,,,,,,,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,
1285,3283,2861,,,,0.2240,-0.02,,,,,,34.1,,3.80,,,,4601,,,,,,,,,0.12,,,,,0.031,0.12,-16.05,30.70,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,
1286,3238,2822,,,,0.2210,-1.53,,,,,,29.9,,4.02,,,,4631,,,,,,,,,0.12,,,,,0.028,0.13,8.10,26.32,,,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,,,,
1287,3547,3091,,,,0.2420,7.26,,,,,,29.6,,4.30,,,,4661,,,,,,,,,0.12,,,,,0.031,0.12,-10.01,31.65,,,,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,
1288,3441,2999,,,,0.2348,3.80,,,,,,33.3,,3.69,,,,4691,,,,,,,,,0.11,,,,,0.029,0.10,-18.14,37.13,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,
1289,3178,2769,,,,0.2168,-4.75,,,,,,36.9,,3.62,,,,4721,,,,,,,,,0.11,,,,,0.030,0.11,8.11,35.21,,,,,,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,
1290,3225,2811,,,,0.2201,-4.06,,,,,,39.2,,3.79,,,,4751,,,,,,,,,0.12,,,,,0.030,0.12,16.37,30.38,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,
1291,3231,2816,,,,0.2205,-4.89,,,,,,34.6,,4.26,,,,4749,,,,,,,,,0.13,,,,,0.030,0.15,17.12,26.03,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,
1292,3403,2966,,,,0.2322,-0.95,,,,,,30.5,,4.40,,,,4746,,,,,,,,,0.13,,,,,0.030,0.14,-6.50,27.65,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,
1293,3483,3035,,,,0.2377,0.00,,,,,,26.9,,4.43,,,,4744,,,,,,,,,0.13,,,,,0.030,0.14,0.44,26.91,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,,,,,,,,,,,,,
1294,3457,3013,,,,0.2359,-2.19,,,,,,23.7,,4.92,,,,4741,,,,,,,,,0.14,,,,,0.031,0.16,16.53,24.00,,,,,,,,,,,,,,,,,,,0.90,,,,,,,,,,,,,,,,,,,,,
1295,3702,3226,,,,0.2526,3.24,,,,,,20.9,,5.48,,,,4739,,,,,,,,,0.15,,,,,0.030,0.17,4.38,22.64,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,
1296,3850,3355,,,,0.2627,5.85,,,,,,18.7,,5.63,,,,4736,,,,,,,,,0.15,,,,,0.029,0.16,-5.10,23.21,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,,
1297,3683,3210,,,,0.2513,0.32,,,,,,26.7,,4.48,,,,4734,,,,,,,,,0.12,,,,,0.029,0.14,-13.84,26.36,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,
1298,3874,3376,,,,0.2643,4.46,,,,,,32.8,,5.39,,,,4731,,,,,,,,,0.14,,,,,0.029,0.15,8.06,24.18,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,
1299,3731,3251,,,,0.2546,-0.02,,,,,,26.5,,5.47,,,,4729,,,,,,,,,0.15,,,,,0.030,0.15,-0.09,25.43,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,
1300,3705,3229,,,,0.2528,-1.25,,,,,,39.6,,5.44,,,,4726,,,,,,,,,0.15,,,,,0.032,0.15,2.50,26.53,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,
1301,3731,3252,,,,0.2546,-0.97,,,,,,43.3,,5.24,,,,4724,,,,,,,,,0.14,,,,,0.032,0.14,-5.72,27.72,,,,,,,,,,,,,,,,,,,1.19,,,,,,,,,,,,,,,,,,,,,
1302,3828,3336,,,,0.2612,1.28,,,,,,21.0,,5.34,,,,4721,,,,,,,,,0.14,,,,,0.031,0.14,-4.54,28.28,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,
1303,3986,3474,,,,0.2720,5.12,,,,,,39.3,,5.32,,,,4719,,,,,,,,,0.13,,,,,0.031,0.13,-5.44,29.92,,,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,
1304,3606,3142,,,,0.2460,-5.06,,,,,,40.7,,4.87,,,,4716,,,,,,,,,0.13,,,,,0.033,0.12,-4.16,33.56,,,,,,,,,,,,,,,,,,,1.10,,,,,,,,,,,,,,,,,,,,,
1305,3706,3229,,,,0.2528,-2.50,,,,,,58.1,,5.37,,,,4714,,,,,,,,,0.14,,,,,0.031,0.14,11.64,27.97,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,
1306,3598,3136,,,,0.2455,-5.65,,,,,,51.8,,5.16,,,,4711,,,,,,,,,0.14,,,,,0.030,0.14,1.33,26.73,,,,,,,,,,,,,,,,,,,1.20,,,,,,,,,,,,,,,,,,,,,
1307,3772,3287,,,,0.2574,-1.20,,,,,,52.1,,5.35,,,,4709,,,,,,,,,0.14,,,,,0.030,0.13,-4.47,28.01,,,,,,,,,,,,,,,,,,,1.30,,,,,,,,,,,,,,,,,,,,,
1308,3816,3326,,,,0.2604,-0.29,,,,,,46.1,,5.60,,,,4706,,,,,,,,,0.15,,,,,0.030,0.15,11.21,25.09,,,,,,,,,,,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,
1309,3910,3408,,,,0.2668,1.95,,,,,,50.6,,6.36,,,,4704,,,,,,,,,0.16,,,,,0.030,0.17,15.75,22.14,,,,,,,,,,,,,,,,,,,1.46,,,,,,,,,,,,,,,,,,,,,
1310,3858,3362,,,,0.2632,0.55,,,,,,43.7,,6.51,,,,4702,,,,,,,,,0.17,,,,,0.033,0.18,5.41,22.60,,,,,,,,,,,,,,,,,,,1.41,,,,,,,,,,,,,,,,,,,,,
1311,3994,3480,,,,0.2725,4.14,,,,,,47.2,,6.63,,,,4699,,,,,,,,,0.17,,,,,0.030,0.18,0.88,20.78,,,,,,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,,,,,,
1312,3888,3388,,,,0.2653,1.82,,,,,,48.3,,5.71,,,,4697,,,,,,,,,0.15,,,,,0.032,0.15,-18.28,26.51,,,,,,,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,
1313,3957,3448,,,,0.2700,4.16,,,,,,46.3,,5.87,,,,4694,,,,,,,,,0.15,,,,,0.032,0.15,-2.47,27.58,,,,,,,,,,,,,,,,,,,1.47,,,,,,,,,,,,,,,,,,,,,
1314,3957,3449,,,,0.2700,5.00,,,,,,24.2,,6.21,,,,4692,,,,,,,,,0.16,,,,,0.032,0.16,8.57,25.56,,,,,,,,,,,,,,,,,,,1.54,,,,,,,,,,,,,,,,,,,,,
1315,3556,3099,,,,0.2426,-4.75,,,,,,40.7,,5.87,,,,4689,,,,,,,,,0.16,,,,,0.032,0.17,6.92,23.65,,,,,,,,,,,,,,,,,,,1.58,,,,,,,,,,,,,,,,,,,,,
1316,3356,2925,,,,0.2290,-9.51,,,,,,26.2,,7.79,,,,4628,,,,,,,,,0.23,,,,,0.033,0.24,41.58,17.34,,,,,,,,,,,,,,,,,,,1.59,,,,,,,,,,,,,,,,,,,,,
1317,3511,3059,,,,0.2395,-4.02,,,,,,34.9,,7.83,,,,4568,,,,,,,,,0.22,,,,,0.036,0.24,1.66,18.59,,,,,,,,,,,,,,,,,,,1.62,,,,,,,,,,,,,,,,,,,,,
